price,lotsize,bedrooms,bathrooms,stories,driveway,recreation,fullbase,gasheat,aircon,garage,prefer
63000,4.9,2,1,2,1,0,1,0,0,0,1
64000,4.51,4,1,2,1,0,0,0,1,2,1
64900,4.1,2,2,1,1,1,1,0,0,0,1
65000,3.64,3,1,2,1,0,0,0,1,0,1
66000,5.68,3,1,2,1,1,0,0,1,1,1
70000,6.3,3,1,1,1,0,0,0,1,2,1
65500,4,3,1,2,1,0,0,0,0,1,1
57000,3.96,3,1,2,1,0,0,0,0,0,1
52000,5.96,3,1,2,1,1,1,0,0,0,1
54000,5.83,2,1,1,1,0,0,0,0,2,1
74500,4.5,4,2,1,0,0,1,0,1,2,1
90000,4.1,3,2,3,1,0,0,0,1,2,1
45000,6.75,2,1,1,1,0,0,0,0,0,1
45000,9,3,1,2,1,0,0,0,0,2,1
65000,2.55,3,1,2,1,0,1,0,0,0,1
55000,7.152,3,1,2,1,0,0,0,1,0,1
62000,6.45,4,1,2,1,0,0,0,0,0,1
30000,3.36,2,1,1,1,0,0,0,0,1,1
34000,3.264,2,1,1,1,0,0,0,0,0,1
38000,4,3,1,1,1,0,0,0,0,0,1
39000,4,3,1,2,1,0,0,0,0,1,1
45000,3.069,2,1,1,1,0,0,0,0,1,1
47000,4.04,2,1,1,1,0,0,0,0,0,1
47500,4.04,2,1,1,1,0,0,0,0,1,1
49000,3.185,2,1,1,1,0,0,0,0,2,1
50000,5.9,2,1,1,1,0,0,0,0,1,1
50000,3.12,3,1,2,1,0,0,0,0,1,1
52900,5.45,2,1,1,1,0,0,0,0,0,1
53000,4.04,2,1,1,1,0,0,0,0,0,1
55000,4.08,2,1,1,1,0,0,0,0,0,1
56000,8.08,3,1,1,1,0,0,0,1,2,1
58500,4.04,2,1,2,1,0,0,0,0,1,1
59500,4.08,3,1,2,1,0,0,0,0,2,1
60000,5.8,3,1,1,1,0,0,1,0,2,1
64000,5.885,2,1,1,1,0,0,0,1,1,1
67000,9.667,4,2,2,1,1,1,0,0,1,1
68100,3.42,4,2,2,1,0,0,0,0,0,1
70000,5.8,2,1,1,1,1,1,0,1,0,1
72000,7.6,4,1,2,1,0,0,0,1,2,1
57500,5.4,3,1,1,1,0,0,0,0,3,1
69900,4.995,4,2,1,1,0,1,0,0,0,1
70000,3,3,1,2,1,0,1,0,1,0,1
75000,5.5,3,2,1,1,0,1,0,0,0,1
76900,6.45,3,2,1,1,1,1,1,0,0,1
78000,6.21,4,1,4,1,1,0,0,1,0,1
80000,5,3,1,4,1,0,0,0,0,0,1
82000,5,3,1,3,1,0,0,0,1,0,1
83000,5.828,4,1,4,1,1,0,0,0,0,1
83000,5.2,3,1,3,1,0,0,0,1,0,1
83900,5.5,3,1,3,1,1,0,0,1,1,1
88500,6.35,3,2,3,1,1,0,0,1,0,1
93000,8.25,3,2,3,1,0,0,0,1,0,1
98000,6,3,1,1,1,0,0,0,1,1,1
98500,7.7,3,2,1,1,0,0,0,0,2,1
99000,8.88,3,2,2,1,0,1,0,1,1,1
101000,8.88,2,1,1,1,0,0,0,1,1,1
110000,6.48,3,2,4,1,0,0,0,1,2,1
115442,7,3,2,4,1,0,0,0,1,2,1
120000,8.875,3,1,1,1,0,0,0,0,1,1
124000,7.155,3,2,1,1,1,1,0,1,2,1
175000,8.96,4,4,4,1,0,0,0,1,3,1
50000,7.35,2,1,1,1,0,0,0,0,1,1
55000,3.85,2,1,1,1,0,0,0,0,0,1
60000,7,3,1,1,1,0,0,0,0,3,1
61000,7.77,2,1,1,1,0,0,0,0,1,1
106000,7.44,3,2,1,1,1,1,0,1,0,2
155000,7.5,3,3,1,1,0,1,0,1,2,2
141000,8.1,4,1,2,1,1,1,0,1,2,2
62500,3.9,3,1,2,1,0,0,0,0,0,1
70000,2.97,3,1,3,1,0,0,0,0,0,1
73000,3,3,1,2,1,0,1,0,0,0,1
80000,10.5,2,1,1,1,0,0,0,0,1,1
80000,5.5,3,2,2,1,0,0,0,0,1,1
88000,4.5,3,1,4,1,0,0,0,1,0,1
49000,3.85,3,1,1,1,0,0,0,0,0,1
52000,4.13,3,2,2,1,0,0,0,0,2,1
59500,4.046,3,1,2,1,0,1,0,0,1,1
60000,4.079,3,1,3,1,0,0,0,0,0,1
64000,4,3,1,2,1,0,0,0,0,2,1
64500,9.86,3,1,1,1,0,0,0,0,0,1
68500,7,3,1,2,1,0,1,0,0,0,1
78500,7.98,3,1,1,1,0,0,0,0,2,1
86000,6.8,2,1,1,1,1,1,0,0,2,1
86900,4.3,6,2,2,1,0,0,0,0,0,1
75000,10.269,3,1,1,1,0,0,0,0,1,2
78000,6.1,3,1,3,1,1,0,0,1,0,2
95000,6.42,3,2,3,1,0,0,0,1,0,2
97000,12.09,4,2,2,1,0,0,0,0,2,2
107000,6.6,3,1,4,1,0,0,0,1,3,2
130000,6.6,4,2,2,1,1,1,0,1,1,2
145000,8.58,4,3,4,1,0,0,0,1,2,2
175000,9.96,3,2,2,1,0,1,0,0,2,2
72000,10.7,3,1,2,1,1,1,0,0,0,1
84900,15.6,3,1,1,1,0,0,0,1,2,1
99000,13.2,2,1,1,1,0,1,1,0,1,1
114000,9,4,2,4,1,0,0,0,1,2,1
120000,7.95,5,2,2,1,0,1,1,0,2,1
145000,16.2,5,3,2,1,0,0,0,0,0,1
79000,6.1,3,2,1,1,0,1,0,0,2,2
82000,6.36,3,1,1,1,1,1,0,1,2,2
85000,6.42,3,1,1,1,0,1,0,1,0,2
100500,6.36,4,2,3,1,0,0,0,1,2,2
122000,6.54,4,2,2,1,1,1,0,1,2,2
126500,6.42,3,2,2,1,0,0,0,1,1,2
133000,6.55,4,2,2,1,0,0,0,1,1,2
140000,5.75,3,2,4,1,1,0,0,1,1,2
190000,7.42,4,2,3,1,0,0,0,1,2,2
84000,7.16,3,1,1,1,0,1,0,0,2,2
97000,4,3,2,2,1,0,1,0,1,0,2
103500,9,4,2,4,1,1,0,0,1,1,2
112500,6.55,3,1,2,1,0,1,0,1,0,2
140000,13.2,3,1,2,1,0,1,0,1,2,2
74700,7.085,3,1,1,1,1,1,0,0,2,2
78000,6.6,4,2,2,1,1,1,0,0,0,2
78900,6.9,3,1,1,1,1,1,0,0,0,2
83900,11.46,3,1,3,1,0,0,0,0,2,2
85000,7.02,3,1,1,1,0,1,0,1,2,2
85000,6.54,3,1,1,1,1,1,0,0,2,2
86000,8,3,1,1,1,1,1,0,1,2,2
86900,9.62,3,1,1,1,0,1,0,0,2,2
94500,10.5,3,2,1,1,0,1,0,1,1,2
96000,5.02,3,1,4,1,0,0,0,1,0,2
106000,7.44,3,2,4,1,0,0,0,0,1,2
72000,6.6,3,1,1,1,1,1,0,0,0,2
74500,7.2,3,1,2,1,1,1,0,0,1,2
77000,6.71,3,2,2,1,1,1,0,0,1,2
80750,6.66,4,2,2,1,1,1,0,0,1,2
82900,7,3,1,1,1,0,1,0,0,2,2
85000,7.231,3,1,2,1,1,1,0,1,0,2
92500,7.41,3,1,1,1,1,1,0,1,2,2
76000,7.8,3,1,1,1,0,1,0,1,2,2
77500,6.825,3,1,1,1,1,1,0,1,0,2
80000,6.36,3,1,3,1,0,0,0,0,0,2
80000,6.6,4,2,1,1,0,1,0,0,0,2
86000,6.9,3,2,1,1,1,1,0,0,0,2
87000,6.6,3,1,1,1,1,1,0,0,2,2
87500,6.42,3,1,3,1,0,1,0,0,0,2
89000,6.6,3,2,1,1,0,1,0,1,0,2
89900,6.6,3,2,3,1,0,0,0,1,0,2
90000,9,3,1,1,1,0,1,0,0,1,2
95000,6.5,3,2,3,1,0,0,0,1,0,2
112000,6.36,3,2,4,1,0,0,0,1,0,2
31900,5.3,3,1,1,0,0,0,0,1,0,2
52000,2.85,3,2,2,0,0,1,0,0,0,2
90000,6.4,3,1,1,1,1,1,0,1,1,2
100000,11.175,3,1,1,1,0,1,0,1,1,2
91700,6.75,2,1,1,1,1,1,0,0,2,2
174500,7.5,4,2,2,1,0,1,0,1,3,2
94700,6,3,1,2,1,0,0,1,0,1,2
68000,10.24,2,1,1,1,0,0,0,1,2,2
80000,5.136,3,1,2,1,1,1,0,1,0,2
61100,3.4,3,1,2,1,0,1,0,0,2,2
62900,2.88,3,1,2,1,0,0,0,0,0,2
65500,3.84,3,1,2,1,0,0,0,0,1,2
66000,2.87,2,1,2,1,1,1,0,0,0,2
49500,5.32,2,1,1,1,0,0,0,0,1,2
50000,3.512,2,1,1,1,0,0,0,0,1,2
53500,3.48,2,1,1,1,0,0,0,0,0,2
58550,3.6,3,1,1,1,0,1,0,1,0,2
64500,3.52,2,1,2,1,0,0,0,0,0,2
65000,5.32,3,1,2,1,1,1,0,0,0,2
69000,6.04,3,1,1,1,0,0,0,0,2,2
73000,11.41,2,1,2,1,0,0,0,0,0,2
75000,8.4,3,1,2,1,1,1,0,1,2,2
75000,5.3,4,2,1,1,0,0,0,1,0,2
132000,7.8,3,2,2,1,0,0,0,0,0,2
60000,3.52,3,1,2,1,0,0,0,0,0,2
65000,5.36,3,1,2,1,0,0,0,0,2,2
69000,6.862,3,1,2,1,0,0,0,1,2,2
51900,3.52,3,1,1,1,0,0,0,0,2,2
57000,4.05,2,1,2,1,1,1,0,0,0,2
65000,3.52,3,1,1,1,0,0,0,0,0,2
79500,4.4,4,1,2,1,0,0,0,1,2,2
72500,5.72,2,1,2,1,0,0,0,1,0,2
104900,11.44,4,1,2,1,0,1,0,0,1,2
114900,7.482,3,2,3,1,0,0,1,0,1,2
120000,5.5,4,2,2,1,0,1,0,1,1,2
58000,4.32,3,1,2,1,0,0,0,0,2,2
67000,5.4,2,1,2,1,0,0,0,0,0,2
67000,4.32,3,1,1,1,0,0,0,0,0,2
69000,4.815,2,1,1,1,0,0,0,1,0,2
73000,6.1,3,1,1,1,0,1,0,1,0,2
73500,7.98,3,1,1,1,0,0,0,0,1,2
74900,6.05,3,1,1,1,0,1,0,0,0,2
75000,3.8,3,1,2,1,1,1,0,0,1,2
79500,5.4,5,1,2,1,1,1,0,1,0,2
120900,6,3,2,4,1,1,1,0,1,0,2
44555,2.398,3,1,1,1,0,0,0,0,0,2
47000,2.145,3,1,2,1,0,1,0,0,0,2
47600,2.145,3,1,2,1,0,1,0,0,0,2
49000,2.145,3,1,3,1,0,0,0,0,0,2
49000,2.61,3,1,2,1,0,1,0,0,0,2
49000,1.95,3,2,2,1,0,1,0,0,0,2
49500,2.145,3,1,3,1,0,0,0,0,0,2
52000,2.275,3,1,3,1,0,0,1,1,0,2
54000,2.856,3,1,3,1,0,0,0,0,0,2
55000,2.015,3,1,2,1,0,1,0,0,0,2
55000,2.176,2,1,2,1,1,0,0,0,0,2
56000,2.145,4,2,1,1,0,1,0,0,0,2
60000,2.145,3,1,3,1,0,0,0,0,1,2
60500,2.787,3,1,1,1,0,1,0,0,0,2
50000,9.5,3,1,2,1,0,0,0,0,3,2
64900,4.99,4,2,2,1,1,1,0,0,0,2
93000,6.67,3,1,3,1,0,1,0,0,0,2
85000,6.254,4,2,1,1,0,1,0,0,1,2
61500,10.36,2,1,1,1,0,0,0,0,1,2
88500,5.5,3,2,1,1,1,1,0,0,2,2
88000,5.45,4,2,1,1,0,1,0,1,0,2
89000,5.5,3,1,3,1,0,0,0,0,1,2
89500,6,4,1,3,1,1,1,0,0,0,2
95000,5.7,3,1,1,1,1,1,0,1,2,2
95500,6.6,2,2,4,1,0,1,0,0,0,2
51500,4,2,1,1,1,0,0,0,0,0,2
62900,4.88,3,1,1,1,0,0,0,0,2,2
118500,4.88,4,2,2,1,0,0,0,1,1,2
42900,8.05,2,1,1,1,0,0,0,0,0,1
44100,8.1,2,1,1,1,0,0,0,0,1,1
47000,5.88,3,1,1,1,0,0,0,0,1,1
50000,5.88,2,1,1,1,0,0,0,0,0,1
50000,12.944,3,1,1,1,0,0,0,0,0,1
53000,6.02,3,1,1,1,0,0,0,0,0,1
53000,4.05,2,1,1,1,0,0,0,0,0,1
54000,8.4,2,1,1,1,0,0,0,0,1,1
58500,5.6,2,1,1,1,0,0,0,1,0,1
59000,5.985,3,1,1,1,0,1,0,0,0,1
60000,4.5,3,1,1,1,0,1,0,0,0,1
62900,4.92,3,1,2,1,0,0,0,0,1,1
64000,8.25,3,1,1,1,0,0,0,0,0,1
65000,8.4,4,1,4,1,0,0,0,0,3,1
67900,6.44,2,1,1,1,0,0,0,1,3,1
68500,8.1,4,1,4,1,0,1,0,1,2,1
70000,6.72,3,1,1,1,0,0,0,0,0,1
70500,5.948,3,1,2,1,0,0,0,1,0,1
71500,8.15,3,2,1,1,1,1,0,0,0,1
71900,4.8,2,1,1,1,1,1,0,0,0,1
75000,9.8,4,2,2,1,1,0,0,0,2,1
75000,8.52,3,1,1,1,0,0,0,1,2,1
87000,8.372,3,1,3,1,0,0,0,1,2,1
64000,4.04,3,1,2,1,0,0,0,0,1,1
70000,4.646,3,1,2,1,1,1,0,0,2,1
47500,4.775,4,1,2,1,0,0,0,0,0,1
62600,4.95,4,1,2,1,0,0,0,1,0,1
66000,5.01,3,1,2,1,0,1,0,0,0,1
58900,6.06,2,1,1,1,0,1,0,0,1,1
53000,3.584,2,1,1,1,0,0,1,0,0,1
95000,6,3,2,3,1,1,0,0,1,0,1
96500,6,4,2,4,1,0,0,0,1,0,1
101000,6.24,4,2,2,1,0,0,0,1,1,1
102000,6,3,2,2,1,1,0,0,0,1,1
103000,7.68,4,2,4,1,1,0,0,1,1,1
105000,6,4,2,4,1,1,0,0,1,1,1
108000,6,4,2,4,1,0,0,0,1,1,1
110000,6,4,2,4,1,0,0,0,0,2,1
113000,6,4,2,4,1,0,0,0,1,1,1
120000,7.475,3,2,4,1,0,0,0,1,2,1
105000,5.15,3,2,4,1,0,0,0,1,2,1
106000,6.325,3,1,4,1,0,0,0,1,1,1
107500,6,3,2,4,1,0,0,0,1,1,1
108000,6,3,2,3,1,0,0,0,1,0,1
113750,6,3,1,4,1,1,0,0,1,2,1
120000,7,3,1,4,1,0,0,0,1,2,1
70000,12.9,3,1,1,1,0,0,0,0,2,1
71000,7.686,3,1,1,1,1,1,1,0,0,1
82000,5,3,1,3,1,0,0,0,1,0,1
82000,5.8,3,2,4,1,0,0,0,1,0,1
82500,6,3,2,4,1,0,0,0,1,0,1
83000,4.8,3,1,3,1,0,0,0,1,0,1
84000,6.5,3,2,3,1,0,0,0,1,0,1
85000,7.32,4,2,2,1,0,0,0,0,0,1
85000,6.525,3,2,4,1,0,0,0,0,1,1
91500,4.8,3,2,4,1,1,0,0,1,0,1
94000,6,3,2,4,1,0,0,0,1,0,1
103000,6,3,2,4,1,1,0,0,1,1,1
105000,6,3,2,2,1,1,0,0,1,1,1
105000,6,3,1,2,1,0,0,0,1,1,1
